,anonimized_id,company_id,year,region,headquarters_country,industry,market_cap,employees,revenue,scope_1,scope_2,scope_3,waste_production,waste_recycling,water_consumption,water_withdrawal,energy_consumption,hours_of_training,gender_pay_gap,independent_board_members_percentage,legal_costs_paid_for_controversies,ceo_compensation
0,c67ee84d-5cf4-4cd0-85b9-027ad082748f_2020,c67ee84d-5cf4-4cd0-85b9-027ad082748f,2020,United States and Canada,United States,"Technology Hardware, Storage and Peripherals",2251351.65,,241518.3,,,22550000.0,45705.8,28939.82,4875000.0,4875000.0,3019170.0,,,0.0085714,0.0,14769259.0
1,c67ee84d-5cf4-4cd0-85b9-027ad082748f_2019,c67ee84d-5cf4-4cd0-85b9-027ad082748f,2019,United States and Canada,United States,"Technology Hardware, Storage and Peripherals",2251351.65,,,52730.0,862127.0,24980000.0,58395.94,32806.41,4890151.52,4992424.24,2889680.0,,,0.0085714,1.85,11555466.0
2,c67ee84d-5cf4-4cd0-85b9-027ad082748f_2018,c67ee84d-5cf4-4cd0-85b9-027ad082748f,2018,United States and Canada,United States,"Technology Hardware, Storage and Peripherals",2251351.65,132000.0,,57440.0,776500.0,25070000.0,52849.83673,,4765151.515,4924242.424,2676460.0,,,0.00875,,15682219.0
3,9ea5e71e-33ac-4916-9c58-50ce9fa54abe_2020,9ea5e71e-33ac-4916-9c58-50ce9fa54abe,2020,Africa / Middle East,Saudi Arabia,Integrated Oil and Gas,2105957.1,66800.0,202736.82,49100.0,17900.0,1876925290.0,,,36150000.0,36150000.0,,,,,0.0,
4,9ea5e71e-33ac-4916-9c58-50ce9fa54abe_2019,9ea5e71e-33ac-4916-9c58-50ce9fa54abe,2019,Africa / Middle East,Saudi Arabia,Integrated Oil and Gas,2105957.1,79000.0,290853.12,44700.0,13200.0,,,,,,121216000.00969727,,,0.45454,,
5,9ea5e71e-33ac-4916-9c58-50ce9fa54abe_2018,9ea5e71e-33ac-4916-9c58-50ce9fa54abe,2018,Africa / Middle East,Saudi Arabia,Integrated Oil and Gas,2105957.1,76418.0,316776.24,,,,,,,,,,,0.45454,,
6,eac65a15-b946-4949-aa16-bebc5847c973_2020,eac65a15-b946-4949-aa16-bebc5847c973,2020,United States and Canada,United States,Automobile Manufacturers,698983.16,70757.0,27745.37,312415.0,595252.0,98878202.0,,,2082160.0,2082160.0,2613000.00020904,,,0.77778,,
7,eac65a15-b946-4949-aa16-bebc5847c973_2019,eac65a15-b946-4949-aa16-bebc5847c973,2019,United States and Canada,United States,Automobile Manufacturers,698983.16,48016.0,21623.72,,,,,,,1765370.0,1765000.0001412,,,0.77778,,
8,eac65a15-b946-4949-aa16-bebc5847c973_2018,eac65a15-b946-4949-aa16-bebc5847c973,2018,United States and Canada,United States,Automobile Manufacturers,698983.16,48817.0,,,,,,,,1548870.0,1141000.00009128,,,0.81818,26.39,
9,f7630649-f77b-426f-b1b3-762776f27304_2020,f7630649-f77b-426f-b1b3-762776f27304,2020,Asia / Pacific,Taiwan,Semiconductors,358235.76,56831.0,42388.84,,,,,542369.0,7839434.59,64300000.0,16919000.00135352,926379.0,,0.6,0.0,
10,f7630649-f77b-426f-b1b3-762776f27304_2019,f7630649-f77b-426f-b1b3-762776f27304,2019,Asia / Pacific,Taiwan,Semiconductors,358235.76,51297.0,,2071.74,6697.87,5307.03,416715.0,395375.0,,,,741178.0,,0.55556,107.61,
11,f7630649-f77b-426f-b1b3-762776f27304_2018,f7630649-f77b-426f-b1b3-762776f27304,2018,Asia / Pacific,Taiwan,Semiconductors,358235.76,48752.0,32647.24,2125.73,6349.64,,393784.0,372173.0,,,,,,0.55556,,
12,dd30cf33-74f4-4e0c-97f7-616923b123f0_2020,dd30cf33-74f4-4e0c-97f7-616923b123f0,2020,United States and Canada,United States,Integrated Oil and Gas,421056.29,72000.0,158173.96,108000000.0,7000000.0,,,,,460000000.0,416667000.03333336,,,0.9,0.0,15639061.0
